	gene_ids
S100b	ENSMUSG00000033208
Nr4a1	ENSMUSG00000023034
Gltp	ENSMUSG00000011884
AW551984	ENSMUSG00000038112
Aspa	ENSMUSG00000020774
Lamp1	ENSMUSG00000031447
Crym	ENSMUSG00000030905
Gjc2	ENSMUSG00000043448
Patj	ENSMUSG00000061859
Ngb	ENSMUSG00000021032
Cox8a	ENSMUSG00000035885
Lingo1	ENSMUSG00000049556
Gal3st1	ENSMUSG00000049721
Selenop	ENSMUSG00000064373
Cmss1	ENSMUSG00000022748
Zfhx3	ENSMUSG00000038872
Sox10	ENSMUSG00000033006
Myl4	ENSMUSG00000061086
Stum	ENSMUSG00000053963
Abca2	ENSMUSG00000026944
Ctxn1	ENSMUSG00000048644
Podxl2	ENSMUSG00000033152
Rpl23	ENSMUSG00000071415
Atp5b	ENSMUSG00000025393
Litaf	ENSMUSG00000022500
Spag5	ENSMUSG00000002055
Itpka	ENSMUSG00000027296
Gjb1	ENSMUSG00000047797
Rps29	ENSMUSG00000034892
Cers2	ENSMUSG00000015714
Ldhb	ENSMUSG00000030246
Scn4b	ENSMUSG00000046480
Hat1	ENSMUSG00000027018
Slc24a3	ENSMUSG00000063873
Lpar1	ENSMUSG00000038668
Rasd1	ENSMUSG00000049892
Gm11808	ENSMUSG00000068240
Gabra4	ENSMUSG00000029211
Vav3	ENSMUSG00000033721
Rasgrp1	ENSMUSG00000027347
Prdx1	ENSMUSG00000028691
Slc12a2	ENSMUSG00000024597
Clmn	ENSMUSG00000021097
C1ql3	ENSMUSG00000049630
Gpr88	ENSMUSG00000068696
Cst3	ENSMUSG00000027447
Kitl	ENSMUSG00000019966
Tesc	ENSMUSG00000029359
Rims3	ENSMUSG00000032890
Ptk2b	ENSMUSG00000059456
Plekhh1	ENSMUSG00000060716
Scd1	ENSMUSG00000037071
Cabp7	ENSMUSG00000009075
Rps20	ENSMUSG00000028234
Prkcb	ENSMUSG00000052889
Calb1	ENSMUSG00000028222
Mad1l1	ENSMUSG00000029554
Myrf	ENSMUSG00000036098
Gad2	ENSMUSG00000026787
Nptx1	ENSMUSG00000025582
Homer1	ENSMUSG00000007617
Ttr	ENSMUSG00000061808
Lgi3	ENSMUSG00000033595
Atp1b1	ENSMUSG00000026576
Dkk3	ENSMUSG00000030772
Fxyd6	ENSMUSG00000066705
Serpinb1a	ENSMUSG00000044734
Prkcg	ENSMUSG00000078816
Satb2	ENSMUSG00000038331
Ppp1r1b	ENSMUSG00000061718
Gpm6b	ENSMUSG00000031342
Rhog	ENSMUSG00000073982
Nkx6-2	ENSMUSG00000041309
Necab2	ENSMUSG00000031837
Phldb1	ENSMUSG00000048537
Cplx2	ENSMUSG00000025867
2010300C02Rik	ENSMUSG00000026090
Tppp3	ENSMUSG00000014846
Tuba1b	ENSMUSG00000023004
Myh7	ENSMUSG00000053093
Gabbr2	ENSMUSG00000039809
Caly	ENSMUSG00000025468
Pcsk1n	ENSMUSG00000039278
Rpl8	ENSMUSG00000003970
Kcnip2	ENSMUSG00000025221
Sirt2	ENSMUSG00000015149
Nr2f2	ENSMUSG00000030551
Spock3	ENSMUSG00000054162
Ttyh2	ENSMUSG00000034714
Calm1	ENSMUSG00000001175
Syt7	ENSMUSG00000024743
Bex1	ENSMUSG00000050071
Slc32a1	ENSMUSG00000037771
Cd82	ENSMUSG00000027215
Clu	ENSMUSG00000022037
Diras2	ENSMUSG00000047842
Carhsp1	ENSMUSG00000008393
Gria1	ENSMUSG00000020524
Rps5	ENSMUSG00000012848
Fam20c	ENSMUSG00000025854
S100a16	ENSMUSG00000074457
Fezf2	ENSMUSG00000021743
Neurod6	ENSMUSG00000037984
Efnb3	ENSMUSG00000003934
Cd9	ENSMUSG00000030342
Ftl1	ENSMUSG00000050708
Golga7	ENSMUSG00000015341
Chgb	ENSMUSG00000027350
Kcnc1	ENSMUSG00000058975
Rplp0	ENSMUSG00000067274
Wipf3	ENSMUSG00000086040
Icam5	ENSMUSG00000032174
Aldh1a1	ENSMUSG00000053279
Atp2b4	ENSMUSG00000026463
Mettl15	ENSMUSG00000057234
Kcng1	ENSMUSG00000074575
Fez1	ENSMUSG00000032118
Scrt1	ENSMUSG00000048385
Pla2g16	ENSMUSG00000060675
Tmeff2	ENSMUSG00000026109
Pdzrn3	ENSMUSG00000035357
Rpl28	ENSMUSG00000030432
Lef1	ENSMUSG00000027985
Tanc1	ENSMUSG00000035168
Gda	ENSMUSG00000058624
Basp1	ENSMUSG00000045763
Sst	ENSMUSG00000004366
Trnp1	ENSMUSG00000056596
Lars2	ENSMUSG00000035202
Kidins220	ENSMUSG00000036333
Tatdn1	ENSMUSG00000050891
Pde1a	ENSMUSG00000059173
Ywhaq	ENSMUSG00000076432
Gjc3	ENSMUSG00000056966
1810041L15Rik	ENSMUSG00000062760
Mt1	ENSMUSG00000031765
Hlf	ENSMUSG00000003949
Slain1	ENSMUSG00000055717
Ecel1	ENSMUSG00000026247
Bc1	ENSMUSG00000115783
Hcrt	ENSMUSG00000045471
Ighm	ENSMUSG00000076617
Gm11549	ENSMUSG00000085007
Psd	ENSMUSG00000037126
Gpm6a	ENSMUSG00000031517
Nrn1	ENSMUSG00000039114
Pitpnc1	ENSMUSG00000040430
Tubb2a	ENSMUSG00000058672
Catsperd	ENSMUSG00000040828
Meis2	ENSMUSG00000027210
Nrxn1	ENSMUSG00000024109
Nr4a2	ENSMUSG00000026826
Rps3a1	ENSMUSG00000028081
Rgs3	ENSMUSG00000059810
Sstr2	ENSMUSG00000047904
Ccl27a	ENSMUSG00000073888
Ldha	ENSMUSG00000063229
Foxp2	ENSMUSG00000029563
Apoe	ENSMUSG00000002985
Taldo1	ENSMUSG00000025503
Hbb-bs	ENSMUSG00000052305
Rasl10a	ENSMUSG00000034209
Zbtb18	ENSMUSG00000063659
Cpne9	ENSMUSG00000030270
Slc48a1	ENSMUSG00000081534
Rtl8a	ENSMUSG00000067925
Atp1a3	ENSMUSG00000040907
Bok	ENSMUSG00000026278
Hba-a1	ENSMUSG00000069919
Dlk1	ENSMUSG00000040856
Pantr1	ENSMUSG00000060424
Ildr2	ENSMUSG00000040612
Zdhhc22	ENSMUSG00000048483
Map1b	ENSMUSG00000052727
Rps27rt	ENSMUSG00000050621
Adcy1	ENSMUSG00000020431
Sema7a	ENSMUSG00000038264
Rpl41	ENSMUSG00000093674
Hapln2	ENSMUSG00000004894
Baiap2	ENSMUSG00000025372
Fam19a1	ENSMUSG00000059187
Ddit4l	ENSMUSG00000046818
Hba-a2	ENSMUSG00000069917
Ywhaz	ENSMUSG00000022285
Chrna4	ENSMUSG00000027577
Rpl6	ENSMUSG00000029614
Fam131a	ENSMUSG00000050821
Efhd1	ENSMUSG00000026255
Tmbim1	ENSMUSG00000006301
Fndc5	ENSMUSG00000001334
Mpped1	ENSMUSG00000041708
Fau	ENSMUSG00000038274
Rps4x	ENSMUSG00000031320
Aldoc	ENSMUSG00000017390
Neurod2	ENSMUSG00000038255
Sncb	ENSMUSG00000034891
Efhd2	ENSMUSG00000040659
Ywhah	ENSMUSG00000018965
Spock1	ENSMUSG00000056222
Npc2	ENSMUSG00000021242
Ina	ENSMUSG00000034336
Gabra1	ENSMUSG00000010803
Ak5	ENSMUSG00000039058
Maged1	ENSMUSG00000025151
Jam3	ENSMUSG00000031990
Anln	ENSMUSG00000036777
Rasgrf2	ENSMUSG00000021708
Rpl18a	ENSMUSG00000045128
Ryr3	ENSMUSG00000057378
S100a6	ENSMUSG00000001025
Mapk1	ENSMUSG00000063358
Vmp1	ENSMUSG00000018171
Cacna1g	ENSMUSG00000020866
Inf2	ENSMUSG00000037679
Igsf1	ENSMUSG00000031111
Kif5a	ENSMUSG00000074657
Cnih3	ENSMUSG00000026514
Gab1	ENSMUSG00000031714
Dgkz	ENSMUSG00000040479
Marcksl1	ENSMUSG00000047945
Rps10	ENSMUSG00000052146
Ncam1	ENSMUSG00000039542
Pmp22	ENSMUSG00000018217
Igfbp4	ENSMUSG00000017493
Rhob	ENSMUSG00000054364
mt-Atp8	ENSMUSG00000064356
Sv2b	ENSMUSG00000053025
Gamt	ENSMUSG00000020150
Rps12-ps3	ENSMUSG00000067038
Timp2	ENSMUSG00000017466
Itm2c	ENSMUSG00000026223
Rap1gds1	ENSMUSG00000028149
Peak1	ENSMUSG00000074305
Sema4d	ENSMUSG00000021451
Trbc2	ENSMUSG00000076498
Erbin	ENSMUSG00000021709
Dclk1	ENSMUSG00000027797
Tnnt1	ENSMUSG00000064179
Pde1b	ENSMUSG00000022489
Camk2d	ENSMUSG00000053819
Hs3st4	ENSMUSG00000078591
Osbpl1a	ENSMUSG00000044252
Bin1	ENSMUSG00000024381
mt-Nd4l	ENSMUSG00000065947
Vstm2l	ENSMUSG00000037843
Gnal	ENSMUSG00000024524
Ubb	ENSMUSG00000019505
Epop	ENSMUSG00000043439
Phactr1	ENSMUSG00000054728
Grm2	ENSMUSG00000023192
Rpl35a	ENSMUSG00000060636
Bhlhe22	ENSMUSG00000025128
Clstn1	ENSMUSG00000039953
Spint2	ENSMUSG00000074227
Tshz2	ENSMUSG00000047907
Kcnab3	ENSMUSG00000018470
Bcl11b	ENSMUSG00000048251
Rpl9-ps6	ENSMUSG00000062456
Htr2c	ENSMUSG00000041380
Cox6a2	ENSMUSG00000030785
Fnbp1	ENSMUSG00000075415
Cbln2	ENSMUSG00000024647
Phlda3	ENSMUSG00000041801
Gng5	ENSMUSG00000068523
Mapt	ENSMUSG00000018411
Tmem91	ENSMUSG00000061702
Hopx	ENSMUSG00000059325
Cacng3	ENSMUSG00000066189
Pdyn	ENSMUSG00000027400
Sypl	ENSMUSG00000020570
Rnf130	ENSMUSG00000020376
Edil3	ENSMUSG00000034488
Wscd1	ENSMUSG00000020811
Tmem158	ENSMUSG00000054871
Lrrc10b	ENSMUSG00000090291
Tspan15	ENSMUSG00000037031
Eef1a2	ENSMUSG00000016349
Fxyd7	ENSMUSG00000036578
Cbarp	ENSMUSG00000035640
Arhgef10	ENSMUSG00000071176
Mmd	ENSMUSG00000003948
Stard8	ENSMUSG00000031216
Ppia	ENSMUSG00000071866
Pak1	ENSMUSG00000030774
Secisbp2l	ENSMUSG00000035093
Thy1	ENSMUSG00000032011
Epha4	ENSMUSG00000026235
Slc29a1	ENSMUSG00000023942
Kcnv1	ENSMUSG00000022342
Sec11c	ENSMUSG00000024516
Camkk2	ENSMUSG00000029471
Dock10	ENSMUSG00000038608
Rap1a	ENSMUSG00000068798
Kcnab1	ENSMUSG00000027827
Rpl24	ENSMUSG00000098274
Lrrtm1	ENSMUSG00000060780
Gm10036	ENSMUSG00000058064
Sptbn1	ENSMUSG00000020315
Vat1	ENSMUSG00000034993
Camk2n2	ENSMUSG00000051146
Camk4	ENSMUSG00000038128
Myo5b	ENSMUSG00000025885
Vsnl1	ENSMUSG00000054459
Nrxn3	ENSMUSG00000066392
Shisa6	ENSMUSG00000053930
Tmcc3	ENSMUSG00000020023
Fabp5	ENSMUSG00000027533
Cbln1	ENSMUSG00000031654
Aldoa	ENSMUSG00000030695
Neat1	ENSMUSG00000092274
Kcnab2	ENSMUSG00000028931
Nsg2	ENSMUSG00000020297
Rps16	ENSMUSG00000037563
Rps26	ENSMUSG00000025362
Kctd17	ENSMUSG00000033287
Nell2	ENSMUSG00000022454
Elovl1	ENSMUSG00000006390
Plxnd1	ENSMUSG00000030123
Rplp1	ENSMUSG00000007892
Xylt2	ENSMUSG00000020868
Psat1	ENSMUSG00000024640
Ankrd63	ENSMUSG00000078137
Ptn	ENSMUSG00000029838
Usp29	ENSMUSG00000051527
2810459M11Rik	ENSMUSG00000026227
Hrh3	ENSMUSG00000039059
Limd2	ENSMUSG00000040699
Rgs9	ENSMUSG00000020599
Mas1	ENSMUSG00000068037
Btbd3	ENSMUSG00000062098
Igfbp2	ENSMUSG00000039323
Gm10073	ENSMUSG00000060019
Rnf7	ENSMUSG00000051234
Lrtm2	ENSMUSG00000055003
Syt1	ENSMUSG00000035864
Rpl14	ENSMUSG00000025794
Nat8l	ENSMUSG00000048142
Sparcl1	ENSMUSG00000029309
Tmem255a	ENSMUSG00000036502
Acot7	ENSMUSG00000028937
Clic4	ENSMUSG00000037242
Rprml	ENSMUSG00000046215
Kcna2	ENSMUSG00000040724
Pcdh9	ENSMUSG00000055421
Etv1	ENSMUSG00000004151
Chst1	ENSMUSG00000027221
Il33	ENSMUSG00000024810
Nell1	ENSMUSG00000055409
Gnas	ENSMUSG00000027523
Gng7	ENSMUSG00000048240
Kif5b	ENSMUSG00000006740
Prkar1b	ENSMUSG00000025855
Rpl3	ENSMUSG00000060036
Cdk5r1	ENSMUSG00000048895
Syt2	ENSMUSG00000026452
Trim59	ENSMUSG00000034317
Mmp17	ENSMUSG00000029436
Chst8	ENSMUSG00000060402
Htr2a	ENSMUSG00000034997
Rbms3	ENSMUSG00000039607
Mb21d2	ENSMUSG00000051065
Adcyap1	ENSMUSG00000024256
Satb1	ENSMUSG00000023927
Tmx4	ENSMUSG00000034723
Klk6	ENSMUSG00000050063
Ache	ENSMUSG00000023328
Serpine2	ENSMUSG00000026249
Ccp110	ENSMUSG00000033904
Camk1d	ENSMUSG00000039145
Sema6a	ENSMUSG00000019647
Tspan7	ENSMUSG00000058254
Atp6ap2	ENSMUSG00000031007
Adgra1	ENSMUSG00000025475
St6galnac5	ENSMUSG00000039037
Syp	ENSMUSG00000031144
Plk5	ENSMUSG00000035486
Cend1	ENSMUSG00000060240
Pgm2l1	ENSMUSG00000030729
Prmt2	ENSMUSG00000020230
Rpl4	ENSMUSG00000032399
Tmem215	ENSMUSG00000046593
Kcns1	ENSMUSG00000040164
Nmral1	ENSMUSG00000063445
Sptbn2	ENSMUSG00000067889
Hbb-bt	ENSMUSG00000073940
Pcdh17	ENSMUSG00000035566
Sez6	ENSMUSG00000000632
Tmem178	ENSMUSG00000024245
Cntn2	ENSMUSG00000053024
Rpl19	ENSMUSG00000017404
Tmem132a	ENSMUSG00000024736
Kndc1	ENSMUSG00000066129
Timp3	ENSMUSG00000020044
Nsf	ENSMUSG00000034187
Fgf1	ENSMUSG00000036585
Kcnh7	ENSMUSG00000059742
Slc6a9	ENSMUSG00000028542
Cx3cl1	ENSMUSG00000031778
Slc22a17	ENSMUSG00000022199
Celf4	ENSMUSG00000024268
Col25a1	ENSMUSG00000058897
Slc1a2	ENSMUSG00000005089
Gng13	ENSMUSG00000025739
Fam163b	ENSMUSG00000009216
Galnt17	ENSMUSG00000034040
Pcbd1	ENSMUSG00000020098
Meg3	ENSMUSG00000021268
Stmn2	ENSMUSG00000027500
Inpp5a	ENSMUSG00000025477
Adgrb1	ENSMUSG00000034730
Abat	ENSMUSG00000057880
Tprn	ENSMUSG00000048707
Ptprd	ENSMUSG00000028399
Olig2	ENSMUSG00000039830
As3mt	ENSMUSG00000003559
Trp53i11	ENSMUSG00000068735
Rap1gap	ENSMUSG00000041351
Ap1s1	ENSMUSG00000004849
Map4	ENSMUSG00000032479
Hmgcs1	ENSMUSG00000093930
Cnksr2	ENSMUSG00000025658
Rpl18	ENSMUSG00000059070
Dbndd1	ENSMUSG00000031970
Dynll2	ENSMUSG00000020483
Glul	ENSMUSG00000026473
Rpl22	ENSMUSG00000028936
Kcnc3	ENSMUSG00000062785
Nefl	ENSMUSG00000022055
Npy	ENSMUSG00000029819
Tnnc1	ENSMUSG00000091898
Rab37	ENSMUSG00000020732
Scn1a	ENSMUSG00000064329
Gh	ENSMUSG00000020713
Tnfaip6	ENSMUSG00000053475
Gprc5b	ENSMUSG00000008734
Rpl32	ENSMUSG00000057841
Camk2b	ENSMUSG00000057897
Pamr1	ENSMUSG00000027188
Itpr1	ENSMUSG00000030102
Syt9	ENSMUSG00000062542
Doc2b	ENSMUSG00000020848
Lhfp	ENSMUSG00000048332
A730017C20Rik	ENSMUSG00000050875
Pcdh20	ENSMUSG00000050505
Cacnb4	ENSMUSG00000017412
Fkbp1a	ENSMUSG00000032966
S100a13	ENSMUSG00000042312
Pkm	ENSMUSG00000032294
Cd83	ENSMUSG00000015396
Arrdc3	ENSMUSG00000074794
Nudcd3	ENSMUSG00000053838
Nxph3	ENSMUSG00000046719
Slc25a22	ENSMUSG00000019082
Ddr1	ENSMUSG00000003534
Pea15a	ENSMUSG00000013698
Egr4	ENSMUSG00000071341
Itm2b	ENSMUSG00000022108
Gstm7	ENSMUSG00000004035
Pde10a	ENSMUSG00000023868
Agpat4	ENSMUSG00000023827
Alcam	ENSMUSG00000022636
Arhgap15	ENSMUSG00000049744
Slco2a1	ENSMUSG00000032548
Cacng4	ENSMUSG00000020723
Syt17	ENSMUSG00000058420
Spock2	ENSMUSG00000058297
Mtus1	ENSMUSG00000045636
Kcnj4	ENSMUSG00000044216
Sh3gl3	ENSMUSG00000030638
Gria2	ENSMUSG00000033981
Atp1b2	ENSMUSG00000041329
Krt12	ENSMUSG00000020912
Necab1	ENSMUSG00000040536
Spg20	ENSMUSG00000036580
Dact2	ENSMUSG00000048826
Aqp4	ENSMUSG00000024411
Cox6c	ENSMUSG00000014313
Sccpdh	ENSMUSG00000038936
Dlgap3	ENSMUSG00000042388
Tmprss9	ENSMUSG00000059406
Arhgef25	ENSMUSG00000019467
Sowaha	ENSMUSG00000044352
Rtn4r	ENSMUSG00000043811
Rnf112	ENSMUSG00000010086
Map1lc3a	ENSMUSG00000027602
B630019K06Rik	ENSMUSG00000052364
Emx1	ENSMUSG00000033726
Rps19	ENSMUSG00000040952
Gabra5	ENSMUSG00000055078
Endod1	ENSMUSG00000037419
Tmem98	ENSMUSG00000035413
Trib1	ENSMUSG00000032501
C230004F18Rik	ENSMUSG00000071753
Sh3gl2	ENSMUSG00000028488
Galnt9	ENSMUSG00000033316
Kif1a	ENSMUSG00000014602
Dnm1	ENSMUSG00000026825
Pkig	ENSMUSG00000035268
Tm7sf3	ENSMUSG00000040234
Ttll7	ENSMUSG00000036745
Ipcef1	ENSMUSG00000064065
Aatk	ENSMUSG00000025375
Nrep	ENSMUSG00000042834
Ensa	ENSMUSG00000038619
Brinp1	ENSMUSG00000028351
Eef1d	ENSMUSG00000055762
Gad1	ENSMUSG00000070880
Rbp4	ENSMUSG00000024990
Rpl7	ENSMUSG00000043716
Syt11	ENSMUSG00000068923
Wnk1	ENSMUSG00000045962
Junb	ENSMUSG00000052837
Aplp2	ENSMUSG00000031996
Enho	ENSMUSG00000028445
Cyp26b1	ENSMUSG00000063415
5031439G07Rik	ENSMUSG00000036046
Spink8	ENSMUSG00000050074
Rcan2	ENSMUSG00000039601
Klhl13	ENSMUSG00000036782
Olfm2	ENSMUSG00000032172
Tiam1	ENSMUSG00000002489
Six3	ENSMUSG00000038805
Vip	ENSMUSG00000019772
Ado	ENSMUSG00000057134
Phgdh	ENSMUSG00000053398
Olfm3	ENSMUSG00000027965
Kcnh3	ENSMUSG00000037579
Pou3f1	ENSMUSG00000090125
Rab6b	ENSMUSG00000032549
Arsg	ENSMUSG00000020604
Chrm1	ENSMUSG00000032773
Padi2	ENSMUSG00000028927
Fgfr2	ENSMUSG00000030849
Cox6a1	ENSMUSG00000041697
Zfp365	ENSMUSG00000037855
Rpl26	ENSMUSG00000060938
Plcxd2	ENSMUSG00000087141
Prkacb	ENSMUSG00000005034
Tspan9	ENSMUSG00000030352
Unc13c	ENSMUSG00000062151
Actg1	ENSMUSG00000062825
Rgs14	ENSMUSG00000052087
Spidr	ENSMUSG00000041974
Flywch1	ENSMUSG00000040097
Mid1ip1	ENSMUSG00000008035
Rps11	ENSMUSG00000003429
Ntm	ENSMUSG00000059974
Fmnl1	ENSMUSG00000055805
Npc1	ENSMUSG00000024413
Degs1	ENSMUSG00000038633
Rps6	ENSMUSG00000028495
Hivep2	ENSMUSG00000015501
